treatment_id,ae_term,ae_group,treated,observed,percent,observed_severe,percent_severe
AZD8701,Anemia,Hematologic,63,35,55.5556,8,12.6984
AZD8701,Anorexia,General,63,10,15.873,0,0.0
AZD8701,Constipation,Gastrointestinal,63,13,20.6349,0,0.0
AZD8701,Dehydration,Other,63,5,7.9365,0,0.0
AZD8701,Diarrhoea,Gastrointestinal,63,20,31.746,0,0.0
AZD8701,Dizziness,Neurologic,63,5,7.9365,0,0.0
AZD8701,Fatigue,General,63,36,57.1429,0,0.0
AZD8701,Fever,General,63,18,28.5714,0,0.0
AZD8701,GI symptoms,Gastrointestinal,63,11,17.4603,0,0.0
AZD8701,Headache,Neurologic,63,11,17.4603,0,0.0
AZD8701,Hyperbilirubinemia,Gastrointestinal,63,3,4.7619,1,1.5873
AZD8701,Hypokalemia,Metabolic,63,2,3.1746,0,0.0
AZD8701,Lower Respiratory Tract Infection or symptoms,Respiratory,63,16,25.3968,1,1.5873
AZD8701,Lymphopenia,Hematologic,63,2,3.1746,0,0.0
AZD8701,Musculoskeletal disorser,Musculoskeletal,63,9,14.2857,0,0.0
AZD8701,Nausea And Vomiting,Gastrointestinal,63,25,39.6825,0,0.0
AZD8701,Pain,General,63,6,9.5238,0,0.0
AZD8701,Pleural Effusion,Respiratory,63,2,3.1746,0,0.0
AZD8701,Pulmonary Embolism,Cardiovascular,63,3,4.7619,3,4.7619
AZD8701,Rash,Mucocutaneous,63,14,22.2222,0,0.0
AZD8701,Renal Injury,Renal,63,13,20.6349,0,0.0
AZD8701,Thrombocytopenia,Hematologic,63,4,6.3492,0,0.0
AZD8701,Transaminase Increase,Gastrointestinal,63,33,52.381,10,15.873
AZD8701,Upper Respiratory Tract Infection or symptoms,Respiratory,63,13,20.6349,0,0.0
AZD8701,Urinary Tract Infection,Genitourinary,63,3,4.7619,1,1.5873
aeg35156,Acidosis,Metabolic,188,1,0.5319,1,0.5319
aeg35156,Anaphylaxis,Inflammatory,188,1,0.5319,1,0.5319
aeg35156,Anemia,Hematologic,188,3,1.5957,0,0.0
aeg35156,Arrhythmias,Cardiovascular,188,1,0.5319,0,0.0
aeg35156,Ascites,General,188,2,1.0638,0,0.0
aeg35156,Constipation,Gastrointestinal,188,1,0.5319,0,0.0
aeg35156,Diarrhoea,Gastrointestinal,188,20,10.6383,0,0.0
aeg35156,Fatigue,General,188,17,9.0426,0,0.0
aeg35156,Fever,General,188,22,11.7021,0,0.0
aeg35156,GI Bleeding,Gastrointestinal,188,1,0.5319,0,0.0
aeg35156,GI Obstruction,Gastrointestinal,188,1,0.5319,0,0.0
aeg35156,GI symptoms,Gastrointestinal,188,15,7.9787,0,0.0
aeg35156,Headache,Neurologic,188,7,3.7234,0,0.0
aeg35156,Hyperbilirubinemia,Gastrointestinal,188,5,2.6596,0,0.0
aeg35156,Hyperglycemia,Metabolic,188,7,3.7234,2,1.0638
aeg35156,Hypertension,Cardiovascular,188,1,0.5319,1,0.5319
aeg35156,Hypophosphatemia,Metabolic,188,6,3.1915,6,3.1915
aeg35156,Hypotension,Cardiovascular,188,20,10.6383,1,0.5319
aeg35156,Leukopenia,Hematologic,188,13,6.9149,0,0.0
aeg35156,Lower Respiratory Tract Infection or symptoms,Respiratory,188,4,2.1277,2,1.0638
aeg35156,Lymphopenia,Hematologic,188,4,2.1277,0,0.0
aeg35156,Mortality,Mortality,188,5,2.6596,5,2.6596
aeg35156,Nausea And Vomiting,Gastrointestinal,188,28,14.8936,0,0.0
aeg35156,Neuropathy,Neurologic,188,4,2.1277,2,1.0638
aeg35156,Neutropenia,Hematologic,188,7,3.7234,6,3.1915
aeg35156,Palmar-plantar erythrodysesthesia syndrom,Mucocutaneous,188,8,4.2553,0,0.0
aeg35156,Pancreatitis,Gastrointestinal,188,1,0.5319,1,0.5319
aeg35156,Petechiae,Hematologic,188,6,3.1915,0,0.0
aeg35156,Pulmonary Embolism,Cardiovascular,188,1,0.5319,1,0.5319
aeg35156,Rash,Mucocutaneous,188,9,4.7872,0,0.0
aeg35156,Tachycardia,Cardiovascular,188,6,3.1915,0,0.0
aeg35156,Thrombocytopenia,Hematologic,188,20,10.6383,0,0.0
aeg35156,Transaminase Increase,Gastrointestinal,188,23,12.234,3,1.5957
